seat_no,seat,district,division,region,seat_areas
1,Panchagarh-1,Panchagarh,Rangpur,Urban,"Panchagarh Sadar, Atwari Upazila, and Tetulia Upazila"
2,Panchagarh-2,Panchagarh,Rangpur,Rural,"Boda Upazila, and Debiganj Upazila"
3,Thakurgaon-1,Thakurgaon,Rangpur,Urban,Thakurgaon Sadar
4,Thakurgaon-2,Thakurgaon,Rangpur,Rural,"Baladangi Upazila, Haripur Upazila, and Ranisankail Upazila: Dhormogarh, and Kashipur Unions"
5,Thakurgaon-3,Thakurgaon,Rangpur,Rural,"Pirganj Upazila, and Ranisankail Upazila: Hosengaon, Nekmorod, Lehemba, Bachor, Ratore, and Nonduar Unions"
6,Dinajpur-1,Dinajpur,Rangpur,Rural,"Birganj Upazila, and Kaharol Upazila"
7,Dinajpur-2,Dinajpur,Rangpur,Rural,"Bochaganj Upazila, and Birol Upazila"
8,Dinajpur-3,Dinajpur,Rangpur,Urban,Dinajpur Sadar
9,Dinajpur-4,Dinajpur,Rangpur,Rural,"Khansama Upazila, and Chirirbandar Upazila"
10,Dinajpur-5,Dinajpur,Rangpur,Rural,"Parbatipur Upazila, and Fulbari Upazila"
11,Dinajpur-6,Dinajpur,Rangpur,Rural,"Nawabganj Upazila, Birampur Upazila, Hakimpur Upazila, and Ghoraghat Upazila"
12,Nilphamari-1,Nilphamari,Rangpur,Rural,"Domar Upazila, and Dimla Upazila"
13,Nilphamari-2,Nilphamari,Rangpur,Urban,Nilphamari Sadar
14,Nilphamari-3,Nilphamari,Rangpur,Rural,Jaldhaka Upazila
15,Nilphamari-4,Nilphamari,Rangpur,Rural,"Sayedpur Upazila, and Kishoreganj Upazila"
16,Lalmonirhat-1,Lalmonirhat,Rangpur,Rural,"Patgram Upazila, and Hatibandha Upazila"
17,Lalmonirhat-2,Lalmonirhat,Rangpur,Rural,"Kaliganj Upazila, and Aditmari Upazila"
18,Lalmonirhat-3,Lalmonirhat,Rangpur,Urban,Lalmonirhat Sadar
19,Rangpur-1,Rangpur,Rangpur,Rural,"Gangachara Upazila, and Rangpur City Corporation Ward No. 1, 2, 3, 4, 5, 6, 7, and 8"
20,Rangpur-2,Rangpur,Rangpur,Rural,"Taraganj Upazila, and Badarganj Upazila"
21,Rangpur-3,Rangpur,Rangpur,Urban,"Rangpur Sadar, and Rangpur City Corporation except for Ward No 1, 2, 3, 4, 5, 6, 7, and 8"
22,Rangpur-4,Rangpur,Rangpur,Rural,"Pirgacha Upazila, and Kaunia Upazila"
23,Rangpur-5,Rangpur,Rangpur,Rural,Mithapukur Upazila
24,Rangpur-6,Rangpur,Rangpur,Rural,Pirganj Upazila
25,Kurigram-1,Kurigram,Rangpur,Rural,"Bhurungamari Upazila, and Nageswari Upazila"
26,Kurigram-2,Kurigram,Rangpur,Urban,"Kurigram Sadar, Rajarhat Upazila, and Phulbari Upazila"
27,Kurigram-3,Kurigram,Rangpur,Rural,Ulipur Upazila
28,Kurigram-4,Kurigram,Rangpur,Rural,"Rowmari Upazila, Rajibpur Upazila, and Chilmari Upazila"
29,Gaibandha-1,Gaibandha,Rangpur,Rural,Sundarganj Upazila
30,Gaibandha-2,Gaibandha,Rangpur,Urban,Gaibandha Sadar
31,Gaibandha-3,Gaibandha,Rangpur,Rural,"Sadullapur Upazila, and Palashbari Upazila"
32,Gaibandha-4,Gaibandha,Rangpur,Rural,Gobindaganj Upazila
33,Gaibandha-5,Gaibandha,Rangpur,Rural,"Fulchhari Upazila, and Shaghata Upazila"
34,Joypurhat-1,Joypurhat,Rajshahi,Urban,"Joypurhat Sadar, Panchbibi Upazila"
35,Joypurhat-2,Joypurhat,Rajshahi,Rural,"Akkelpur Upazila, Khetlal Upazila, and Kalai Upazila"
36,Bogra-1,Bogra,Rajshahi,Rural,"Sariakandi Upazila, and Sonatola Upazila"
37,Bogra-2,Bogra,Rajshahi,Rural,Shibganj Upazila
38,Bogra-3,Bogra,Rajshahi,Rural,"Adamdighi Upazila, and Dhupchanchia Upazila"
39,Bogra-4,Bogra,Rajshahi,Rural,"Kahaloo Upazila, and Nandigram Upazila"
40,Bogra-5,Bogra,Rajshahi,Rural,"Sherpur Upazila, and Dhunat Upazila"
41,Bogra-6,Bogra,Rajshahi,Urban,Bogura Sadar
42,Bogra-7,Bogra,Rajshahi,Rural,"Gabtali Upazila, and Shajahanpur Upazila"
43,Chapai Nawabganj-1,Chapai Nawabganj,Rajshahi,Rural,Shibganj Upazila
44,Chapai Nawabganj-2,Chapai Nawabganj,Rajshahi,Rural,"Bholahat Upazila, Gomastapur Upazila, and Nachole Upazila"
45,Chapai Nawabganj-3,Chapai Nawabganj,Rajshahi,Urban,C.Nawabganj Sadar
46,Naogaon-1,Naogaon,Rajshahi,Rural,"Porsha Upazila, Shapahar Upazila, and Niamatpur Upazila"
47,Naogaon-2,Naogaon,Rajshahi,Rural,"Patnitala Upazila, and Dhamoirhat Upazila"
48,Naogaon-3,Naogaon,Rajshahi,Rural,"Badalgachi Upazila, and Mohadevpur Upazila"
49,Naogaon-4,Naogaon,Rajshahi,Rural,Manda Upazila
50,Naogaon-5,Naogaon,Rajshahi,Urban,Naogaon Sadar
51,Naogaon-6,Naogaon,Rajshahi,Rural,"Raninagar Upazila, and Atrai Upazila"
52,Rajshahi-1,Rajshahi,Rajshahi,Rural,"Godagari Upazila, and Tanore Upazila"
53,Rajshahi-2,Rajshahi,Rajshahi,Urban,Rajshahi City Corporation
54,Rajshahi-3,Rajshahi,Rajshahi,Rural,"Mohanpur Upazila, and Paba Upazila"
55,Rajshahi-4,Rajshahi,Rajshahi,Rural,Baghmara Upazila
56,Rajshahi-5,Rajshahi,Rajshahi,Rural,"Durgapur Upazila, and Puthia Upazila"
57,Rajshahi-6,Rajshahi,Rajshahi,Rural,"Charghat Upazila, and Bagha Upazila"
58,Natore-1,Natore,Rajshahi,Rural,"Lalpur Upazila, and Bagatipara"
59,Natore-2,Natore,Rajshahi,Urban,"Natore Sadar, and Naldanga Upazila"
60,Natore-3,Natore,Rajshahi,Rural,Singra Upazila
61,Natore-4,Natore,Rajshahi,Rural,"Gurudaspur Upazila, and Baraigram Upazila"
62,Sirajganj-1,Sirajganj,Rajshahi,Urban,"Kazipur Upazila and Sirajganj Sadar: Mechra, Ratankandi, Bagbati, Chongacha, and Bahuli Unions Mechra, Ratankandi, Bagbati, Chongaccha and Bohuli unions under Sirajganj Sadar Upazila"
63,Sirajganj-2,Sirajganj,Rajshahi,Urban,"Kamarkhand Upazila, and Sirajganj Sadar except Mechra, Ratankandi, Bagbati, Chongacha, and Bahuli Unions All unions under Sirajganj Sadar Upazila except Mechra, Ratankandi, Bagbati, Chongaccha and Bohuli"
64,Sirajganj-3,Sirajganj,Rajshahi,Rural,Rayganj Upazila and Tarash Upazila
65,Sirajganj-4,Sirajganj,Rajshahi,Rural,Ullapara Upazila
66,Sirajganj-5,Sirajganj,Rajshahi,Rural,Belkuchi Upazila and Chouhali Upazila
67,Sirajganj-6,Sirajganj,Rajshahi,Rural,Shahzadpur Upazila
68,Pabna-1,Pabna,Rajshahi,Rural,"Santhia Upazila and Bera Upazila: Bera Municipality, Natun Bharenga, Chakla and Koitola Unions Bera municipality, Haturia Nakalia union, Natun Bharenga union, Chakla union and Koitola union under Bera Upazila"
69,Pabna-2,Pabna,Rajshahi,Rural,"Sujanagar Upazila and Bera Upazila except Bera Municipality, Natun Bharenga, Chakla and Koitola Unions All unions under Bera Upazila except Bera municipality, Haturia Nakalia union, Natun Bharenga union, Chakla union and Koitola"
70,Pabna-3,Pabna,Rajshahi,Rural,"Chatmohor Upazila, Bhangura Upazila and Faridpur Upazila"
71,Pabna-4,Pabna,Rajshahi,Rural,Aatgharia Upazila and Ishwardi Upazila
72,Pabna-5,Pabna,Rajshahi,Urban,Pabna Sadar
73,Meherpur-1,Meherpur,Khulna,Urban,"Meherpur Sadar, and Mujibnagar Upazila"
74,Meherpur-2,Meherpur,Khulna,Rural,Gangni Upazila
75,Kushtia-1,Kushtia,Khulna,Rural,Daulatpur Upazila
76,Kushtia-2,Kushtia,Khulna,Rural,Bheramara Upazila and Mirpur Upazila
77,Kushtia-3,Kushtia,Khulna,Urban,Kushtia Sadar
78,Kushtia-4,Kushtia,Khulna,Rural,Kumarkhali Upazila and Khoksa Upazila
79,Chuadanga-1,Chuadanga,Khulna,Urban,"Alamdanga Upazila, and Chuadanga Sadar Upazila except Titudaha, Begumpur and Garaitupi Unions"
80,Chuadanga-2,Chuadanga,Khulna,Urban,"Damurhuda Upazila Jibannagar Upazila and Chuadanga Sadar: Titudaha, Begumpur and Garaitupi Unions All unions under Chuadanga Sadar Upazila except Titudaha, Begumpur, Nehalpur and Goraitupi unions"
81,Jhenaidah-1,Jhenaidah,Khulna,Rural,"Shailokupa Upazila Titudaha, Begumpur, Nehalpur and Goraitupi unions under Chuadanga Sadar Upazila"
82,Jhenaidah-2,Jhenaidah,Khulna,Urban,"Jhenaidah Sadar Upazila except Naldanga, Ghorashal, Furshundi, and Maharajpur Unions and Horinakundu Upazila All unions under Jhenaidah Sadar Upazila except Noldanga, Ghorashal, Furshundi and Moharajpur unions"
83,Jhenaidah-3,Jhenaidah,Khulna,Rural,"Kotchandpur Upazila, and Moheshpur Upazila"
84,Jhenaidah-4,Jhenaidah,Khulna,Urban,"Kaliganj Upazila, and Four unions under Jhenaidah Sadar Upazila Noldanga, Ghorashal, Furshundi and Moharajpur unions under Jhenaidah Sadar Upazila"
85,Jessore-1,Jessore,Khulna,Rural,Sharsha Upazila
86,Jessore-2,Jessore,Khulna,Rural,"Chougachha Upazila, and Jhikargachha Upazila"
87,Jessore-3,Jessore,Khulna,Urban,Jashore Sadar Upazila except Bashundia Union All unions under Jashore Sadar Upazila except Basundia union
88,Jessore-4,Jessore,Khulna,Rural,"Bagharpara Upazila, Abhaynagar Upazila and Jashore Sadar: Bashundia Union Basundia union under Jashore Sadar Upazila"
89,Jessore-5,Jessore,Khulna,Rural,Manirampur Upazila
90,Jessore-6,Jessore,Khulna,Rural,Keshabpur Upazila
91,Magura-1,Magura,Khulna,Urban,"Sreepur Upazila, and Magura Sadar except Shatarujitpur, Gopalgram, Kuchiamora, and Berail Palita Unions"
92,Magura-2,Magura,Khulna,Rural,"Mohammadpur Upazila, and Magura Sadar: Shatarujitpur, Gopalgram, Kuchiamora, and Berail Palita Unions"
93,Narail-1,Narail,Khulna,Rural,"Kalia Upazila, and Narail Sadar: Kalora, Bichli, Bhadrabila, Singa Solpur, and Sheikh Hati Unions"
94,Narail-2,Narail,Khulna,Urban,"Lohagara Upazila, and Narail Sadar except Kalora, Bichli, Bhadrabila, Singa Solpur, and Sheikh Hati Unions"
95,Bagerhat-1,Bagerhat,Khulna,Rural,"Fakirhat Upazila, Mollahat Upazila, and Chitalmari Upazila"
96,Bagerhat-2,Bagerhat,Khulna,Urban,"Bagerhat Sadar, and Kachua Upazila"
97,Bagerhat-3,Bagerhat,Khulna,Rural,"Rampal Upazila, and Mongla Upazila"
98,Bagerhat-4,Bagerhat,Khulna,Rural,"Morelganj Upazila, and Sharankhola Upazila"
99,Khulna-1,Khulna,Khulna,Rural,"Botiaghata Upazila, and Dakop Upazila"
100,Khulna-2,Khulna,Khulna,Urban,"Khulna City Corporation Ward No 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31"
101,Khulna-3,Khulna,Khulna,Urban,"Khulna City Corporation Ward No 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, and Dighalia Upazila: Aranghata and Jogipol Unions"
102,Khulna-4,Khulna,Khulna,Rural,"Digholia Upazila except Aranghata and Jogipol Unions, Rupsha Upazila, and Terkhada Upazila"
103,Khulna-5,Khulna,Khulna,Rural,"Fultola Upazila, Dumuria Upazila, and Gilatola Cantonment"
104,Khulna-6,Khulna,Khulna,Rural,"Koyra Upazila, and Paikgacha Upazila"
105,Satkhira-1,Satkhira,Khulna,Rural,"Kalaroa Upazila, and Tala Upazila"
106,Satkhira-2,Satkhira,Khulna,Urban,Satkhira Sadar
107,Satkhira-3,Satkhira,Khulna,Rural,"Assasuni Upazila, Kaliganj Upazila: Champaful, Tarashimla, Tarali and Nalta Unions"
108,Satkhira-4,Satkhira,Khulna,Rural,"Shyamnagar Upazila, and Kaliganj Upazila except Champaful, Tarashimla, Tarali and Nalta Unions"
109,Barguna-1,Barguna,Barisal,Urban,"Barguna Sadar, Amtali Upazila, and Taltali Upazila"
110,Barguna-2,Barguna,Barisal,Rural,"Bamna Upazila, Patharghata Upazila, and Betagi Upazila"
111,Patuakhali-1,Patuakhali,Barisal,Urban,"Patuakhali Sadar, Mirjaganz Upazila, and Dumki Upazila"
112,Patuakhali-2,Patuakhali,Barisal,Rural,Baufol Upazila
113,Patuakhali-3,Patuakhali,Barisal,Rural,"Dashimana Upazila, and Galachipa Upazila"
114,Patuakhali-4,Patuakhali,Barisal,Rural,"Kalapara Upazila, and Rangabali Upazila"
115,Bhola-1,Bhola,Barisal,Urban,Bhola Sadar
116,Bhola-2,Bhola,Barisal,Rural,"Doulatkhan Upazila, and Borhanuddin Upazila"
117,Bhola-3,Bhola,Barisal,Rural,"Tajumoddin Upazila, and Lalmohan Upazila"
118,Bhola-4,Bhola,Barisal,Rural,"Monpura Upazila, and Charfashion Upazila"
119,Barisal-1,Barisal,Barisal,Rural,"Gournadi Upazila, and Agailjhara Upazila"
120,Barisal-2,Barisal,Barisal,Rural,"Uzirpur Upazila, and Banaripara Upazila"
121,Barisal-3,Barisal,Barisal,Rural,"Muladi Upazila, and Babuganj Upazila"
122,Barisal-4,Barisal,Barisal,Rural,"Mehendiganj Upazila, and Hizla Upazila"
123,Barisal-5,Barisal,Barisal,Urban,"Barishal City Corporation, and Barishal Sadar"
124,Barisal-6,Barisal,Barisal,Rural,Bakerganj Upazila
125,Jhalokati-1,Jhalokati,Barisal,Rural,"Rajapur Upazila, and Kathalia Upazila"
126,Jhalokati-2,Jhalokati,Barisal,Urban,"Jhalokathi Sadar, and Nalcity Upazila"
127,Pirojpur-1,Pirojpur,Barisal,Urban,"Pirojpur Sadar, Nesarbad Upazila, and Nazirpur Upazila"
128,Pirojpur-2,Pirojpur,Barisal,Rural,"Kaukhali Upazila, Bhandaria Upazila, and Indurkani Upazila"
129,Pirojpur-3,Pirojpur,Barisal,Rural,Mathbaria Upazila
130,Tangail-1,Tangail,Dhaka,Rural,"Madhupur Upazila, and Dhanbari Upazila"
131,Tangail-2,Tangail,Dhaka,Rural,"Gopalpur Upazila, and Bhuapur Upazila"
132,Tangail-3,Tangail,Dhaka,Rural,Ghatail Upazila
133,Tangail-4,Tangail,Dhaka,Rural,Kalihati Upazila
134,Tangail-5,Tangail,Dhaka,Urban,Tangail Sadar
135,Tangail-6,Tangail,Dhaka,Rural,"Delduar Upazila, and Nagarpur Upazila"
136,Tangail-7,Tangail,Dhaka,Rural,Mirzapur Upazila
137,Tangail-8,Tangail,Dhaka,Rural,"Basail Upazila, and Sakhipur Upazila"
138,Jamalpur-1,Jamalpur,Mymensingh,Rural,"Bakshiganj Upazila, and Dewanganj Upazila"
139,Jamalpur-2,Jamalpur,Mymensingh,Rural,Islampur Upazila
140,Jamalpur-3,Jamalpur,Mymensingh,Rural,"Motherganj Upazila, and Melandaha Upazila"
141,Jamalpur-4,Jamalpur,Mymensingh,Rural,Sarishabari Upazila
142,Jamalpur-5,Jamalpur,Mymensingh,Urban,Jamalpur Sadar
143,Sherpur-1,Sherpur,Mymensingh,Urban,Sherpur Sadar
144,Sherpur-2,Sherpur,Mymensingh,Rural,"Nakla Upazila, and Nalitabari Upazila"
145,Sherpur-3,Sherpur,Mymensingh,Rural,"Sreebardi Upazila, and Jhenaigati Upazila"
146,Mymensingh-1,Mymensingh,Mymensingh,Rural,"Haluaghat Upazila, and Dhobaura Upazila"
147,Mymensingh-2,Mymensingh,Mymensingh,Rural,"Fulpur Upazila, and Tarakanda Upazila"
148,Mymensingh-3,Mymensingh,Mymensingh,Rural,Gouripur Upazila
149,Mymensingh-4,Mymensingh,Mymensingh,Urban,Mymensingh Sadar
150,Mymensingh-5,Mymensingh,Mymensingh,Rural,Muktagacha Upazila
151,Mymensingh-6,Mymensingh,Mymensingh,Rural,Fulbaria Upazila
152,Mymensingh-7,Mymensingh,Mymensingh,Rural,Trishal Upazila
153,Mymensingh-8,Mymensingh,Mymensingh,Rural,Ishwarganj Upazila
154,Mymensingh-9,Mymensingh,Mymensingh,Rural,Nandail Upazila
