seat,division,turnout_pc_med
Meherpur-1,Khulna,84.5
Meherpur-2,Khulna,84.5
Kushtia-1,Khulna,84.5
Kushtia-2,Khulna,84.5
Kushtia-3,Khulna,84.5
Kushtia-4,Khulna,84.5
Chuadanga-1,Khulna,84.5
Chuadanga-2,Khulna,84.5
Jhenaidah-1,Khulna,84.5
Jhenaidah-2,Khulna,84.5
Jhenaidah-3,Khulna,84.5
Jhenaidah-4,Khulna,84.5
Jessore-1,Khulna,84.5
Jessore-2,Khulna,84.5
Jessore-3,Khulna,84.5
Jessore-4,Khulna,84.5
Jessore-5,Khulna,84.5
Jessore-6,Khulna,84.5
Magura-1,Khulna,84.5
Magura-2,Khulna,84.5
Narail-1,Khulna,84.5
Narail-2,Khulna,84.5
Bagerhat-1,Khulna,84.5
Bagerhat-2,Khulna,84.5
Bagerhat-3,Khulna,84.5
Bagerhat-4,Khulna,84.5
Khulna-1,Khulna,84.5
Khulna-2,Khulna,84.5
Khulna-3,Khulna,84.5
Khulna-4,Khulna,84.5
Khulna-5,Khulna,84.5
Khulna-6,Khulna,84.5
Satkhira-1,Khulna,84.5
Satkhira-2,Khulna,84.5
Satkhira-3,Khulna,84.5
Satkhira-4,Khulna,84.5
Joypurhat-1,Rajshahi,84.1
Joypurhat-2,Rajshahi,84.1
Bogra-1,Rajshahi,84.1
Bogra-2,Rajshahi,84.1
Bogra-3,Rajshahi,84.1
Bogra-4,Rajshahi,84.1
Bogra-5,Rajshahi,84.1
Bogra-6,Rajshahi,84.1
Bogra-7,Rajshahi,84.1
Chapai Nawabganj-1,Rajshahi,84.1
Chapai Nawabganj-2,Rajshahi,84.1
Chapai Nawabganj-3,Rajshahi,84.1
Naogaon-1,Rajshahi,84.1
Naogaon-2,Rajshahi,84.1
Naogaon-3,Rajshahi,84.1
Naogaon-4,Rajshahi,84.1
Naogaon-5,Rajshahi,84.1
Naogaon-6,Rajshahi,84.1
Rajshahi-1,Rajshahi,84.1
Rajshahi-2,Rajshahi,84.1
Rajshahi-3,Rajshahi,84.1
Rajshahi-4,Rajshahi,84.1
Rajshahi-5,Rajshahi,84.1
Rajshahi-6,Rajshahi,84.1
Natore-1,Rajshahi,84.1
Natore-2,Rajshahi,84.1
Natore-3,Rajshahi,84.1
Natore-4,Rajshahi,84.1
Sirajganj-1,Rajshahi,84.1
Sirajganj-2,Rajshahi,84.1
Sirajganj-3,Rajshahi,84.1
Sirajganj-4,Rajshahi,84.1
Sirajganj-5,Rajshahi,84.1
Sirajganj-6,Rajshahi,84.1
Pabna-1,Rajshahi,84.1
Pabna-2,Rajshahi,84.1
Pabna-3,Rajshahi,84.1
Pabna-4,Rajshahi,84.1
Pabna-5,Rajshahi,84.1
Panchagarh-1,Rangpur,76.85
Panchagarh-2,Rangpur,76.85
Thakurgaon-1,Rangpur,76.85
Thakurgaon-2,Rangpur,76.85
Thakurgaon-3,Rangpur,76.85
Dinajpur-1,Rangpur,76.85
Dinajpur-2,Rangpur,76.85
Dinajpur-3,Rangpur,76.85
Dinajpur-4,Rangpur,76.85
Dinajpur-5,Rangpur,76.85
Dinajpur-6,Rangpur,76.85
Nilphamari-1,Rangpur,76.85
Nilphamari-2,Rangpur,76.85
Nilphamari-3,Rangpur,76.85
Nilphamari-4,Rangpur,76.85
Lalmonirhat-1,Rangpur,76.85
Lalmonirhat-2,Rangpur,76.85
Lalmonirhat-3,Rangpur,76.85
Rangpur-1,Rangpur,76.85
Rangpur-2,Rangpur,76.85
Rangpur-3,Rangpur,76.85
Rangpur-4,Rangpur,76.85
Rangpur-5,Rangpur,76.85
Rangpur-6,Rangpur,76.85
Kurigram-1,Rangpur,76.85
Kurigram-2,Rangpur,76.85
Kurigram-3,Rangpur,76.85
Kurigram-4,Rangpur,76.85
Gaibandha-1,Rangpur,76.85
Gaibandha-2,Rangpur,76.85
Gaibandha-3,Rangpur,76.85
Gaibandha-4,Rangpur,76.85
Gaibandha-5,Rangpur,76.85
Tangail-1,Dhaka,74.85
Tangail-2,Dhaka,74.85
Tangail-3,Dhaka,74.85
Tangail-4,Dhaka,74.85
Tangail-5,Dhaka,74.85
Tangail-6,Dhaka,74.85
Tangail-7,Dhaka,74.85
Tangail-8,Dhaka,74.85
Kishoreganj-1,Dhaka,74.85
Kishoreganj-2,Dhaka,74.85
Kishoreganj-3,Dhaka,74.85
Kishoreganj-4,Dhaka,74.85
Kishoreganj-5,Dhaka,74.85
Kishoreganj-6,Dhaka,74.85
Manikganj-1,Dhaka,74.85
Manikganj-2,Dhaka,74.85
Manikganj-3,Dhaka,74.85
Munshiganj-1,Dhaka,74.85
Munshiganj-2,Dhaka,74.85
Munshiganj-3,Dhaka,74.85
Dhaka-1,Dhaka,74.85
Dhaka-2,Dhaka,74.85
Dhaka-3,Dhaka,74.85
Dhaka-4,Dhaka,74.85
Dhaka-5,Dhaka,74.85
Dhaka-6,Dhaka,74.85
Dhaka-7,Dhaka,74.85
Dhaka-8,Dhaka,74.85
Dhaka-9,Dhaka,74.85
Dhaka-10,Dhaka,74.85
Dhaka-11,Dhaka,74.85
Dhaka-12,Dhaka,74.85
Dhaka-13,Dhaka,74.85
Dhaka-14,Dhaka,74.85
Dhaka-15,Dhaka,74.85
Dhaka-16,Dhaka,74.85
Dhaka-17,Dhaka,74.85
Dhaka-18,Dhaka,74.85
Dhaka-19,Dhaka,74.85
Dhaka-20,Dhaka,74.85
Gazipur-1,Dhaka,74.85
Gazipur-2,Dhaka,74.85
Gazipur-3,Dhaka,74.85
Gazipur-4,Dhaka,74.85
Gazipur-5,Dhaka,74.85
Narsingdi-1,Dhaka,74.85
Narsingdi-2,Dhaka,74.85
Narsingdi-3,Dhaka,74.85
Narsingdi-4,Dhaka,74.85
Narsingdi-5,Dhaka,74.85
Narayanganj-1,Dhaka,74.85
Narayanganj-2,Dhaka,74.85
Narayanganj-3,Dhaka,74.85
Narayanganj-4,Dhaka,74.85
Narayanganj-5,Dhaka,74.85
Rajbari-1,Dhaka,74.85
Rajbari-2,Dhaka,74.85
Faridpur-1,Dhaka,74.85
Faridpur-2,Dhaka,74.85
Faridpur-3,Dhaka,74.85
Faridpur-4,Dhaka,74.85
Gopalganj-1,Dhaka,74.85
Gopalganj-2,Dhaka,74.85
Gopalganj-3,Dhaka,74.85
Madaripur-1,Dhaka,74.85
Madaripur-2,Dhaka,74.85
Madaripur-3,Dhaka,74.85
Shariatpur-1,Dhaka,74.85
Shariatpur-2,Dhaka,74.85
Shariatpur-3,Dhaka,74.85
Sunamganj-1,Sylhet,71.85
Sunamganj-2,Sylhet,71.85
Sunamganj-3,Sylhet,71.85
Sunamganj-4,Sylhet,71.85
Sunamganj-5,Sylhet,71.85
Sylhet-1,Sylhet,71.85
Sylhet-2,Sylhet,71.85
Sylhet-3,Sylhet,71.85
Sylhet-4,Sylhet,71.85
Sylhet-5,Sylhet,71.85
Sylhet-6,Sylhet,71.85
Moulvibazar-1,Sylhet,71.85
Moulvibazar-2,Sylhet,71.85
Moulvibazar-3,Sylhet,71.85
Moulvibazar-4,Sylhet,71.85
Habiganj-1,Sylhet,71.85
Habiganj-2,Sylhet,71.85
Habiganj-3,Sylhet,71.85
Habiganj-4,Sylhet,71.85
Jamalpur-1,Mymensingh,71.4
Jamalpur-2,Mymensingh,71.4
Jamalpur-3,Mymensingh,71.4
Jamalpur-4,Mymensingh,71.4
Jamalpur-5,Mymensingh,71.4
Sherpur-1,Mymensingh,71.4
Sherpur-2,Mymensingh,71.4
Sherpur-3,Mymensingh,71.4
Mymensingh-1,Mymensingh,71.4
Mymensingh-2,Mymensingh,71.4
Mymensingh-3,Mymensingh,71.4
Mymensingh-4,Mymensingh,71.4
Mymensingh-5,Mymensingh,71.4
Mymensingh-6,Mymensingh,71.4
Mymensingh-7,Mymensingh,71.4
Mymensingh-8,Mymensingh,71.4
Mymensingh-9,Mymensingh,71.4
Mymensingh-10,Mymensingh,71.4
Mymensingh-11,Mymensingh,71.4
Netrokona-1,Mymensingh,71.4
Netrokona-2,Mymensingh,71.4
Netrokona-3,Mymensingh,71.4
Netrokona-4,Mymensingh,71.4
Netrokona-5,Mymensingh,71.4
Brahmanbaria-1,Chittagong,69.5
Brahmanbaria-2,Chittagong,69.5
Brahmanbaria-3,Chittagong,69.5
Brahmanbaria-4,Chittagong,69.5
Brahmanbaria-5,Chittagong,69.5
Brahmanbaria-6,Chittagong,69.5
Comilla-1,Chittagong,69.5
Comilla-2,Chittagong,69.5
Comilla-3,Chittagong,69.5
Comilla-4,Chittagong,69.5
Comilla-5,Chittagong,69.5
Comilla-6,Chittagong,69.5
Comilla-7,Chittagong,69.5
Comilla-8,Chittagong,69.5
Comilla-9,Chittagong,69.5
Comilla-10,Chittagong,69.5
Comilla-11,Chittagong,69.5
Chandpur-1,Chittagong,69.5
Chandpur-2,Chittagong,69.5
Chandpur-3,Chittagong,69.5
Chandpur-4,Chittagong,69.5
Chandpur-5,Chittagong,69.5
Feni-1,Chittagong,69.5
Feni-2,Chittagong,69.5
Feni-3,Chittagong,69.5
Noakhali-1,Chittagong,69.5
Noakhali-2,Chittagong,69.5
Noakhali-3,Chittagong,69.5
Noakhali-4,Chittagong,69.5
Noakhali-5,Chittagong,69.5
Noakhali-6,Chittagong,69.5
Lakshmipur-1,Chittagong,69.5
Lakshmipur-2,Chittagong,69.5
Lakshmipur-3,Chittagong,69.5
Lakshmipur-4,Chittagong,69.5
Chittagong-1,Chittagong,69.5
Chittagong-2,Chittagong,69.5
Chittagong-3,Chittagong,69.5
Chittagong-4,Chittagong,69.5
Chittagong-5,Chittagong,69.5
Chittagong-6,Chittagong,69.5
Chittagong-7,Chittagong,69.5
Chittagong-8,Chittagong,69.5
Chittagong-9,Chittagong,69.5
Chittagong-10,Chittagong,69.5
Chittagong-11,Chittagong,69.5
Chittagong-12,Chittagong,69.5
Chittagong-13,Chittagong,69.5
Chittagong-14,Chittagong,69.5
Chittagong-15,Chittagong,69.5
Chittagong-16,Chittagong,69.5
Cox's Bazar-1,Chittagong,69.5
Cox's Bazar-2,Chittagong,69.5
Cox's Bazar-3,Chittagong,69.5
Cox's Bazar-4,Chittagong,69.5
Khagrachari,Chittagong,69.5
Rangamati,Chittagong,69.5
Bandarban,Chittagong,69.5
Barguna-1,Barisal,65.9
Barguna-2,Barisal,65.9
Patuakhali-1,Barisal,65.9
Patuakhali-2,Barisal,65.9
Patuakhali-3,Barisal,65.9
Patuakhali-4,Barisal,65.9
Bhola-1,Barisal,65.9
Bhola-2,Barisal,65.9
Bhola-3,Barisal,65.9
Bhola-4,Barisal,65.9
Barisal-1,Barisal,65.9
Barisal-2,Barisal,65.9
Barisal-3,Barisal,65.9
Barisal-4,Barisal,65.9
Barisal-5,Barisal,65.9
Barisal-6,Barisal,65.9
Jhalokati-1,Barisal,65.9
Jhalokati-2,Barisal,65.9
Pirojpur-1,Barisal,65.9
Pirojpur-2,Barisal,65.9
Pirojpur-3,Barisal,65.9
