seat,turnout_pc_med
Rajshahi-6,91.6
Rajshahi-4,90.1
Gazipur-5,89.1
Natore-1,89
Jessore-2,88.85
Jhenaidah-3,88.75
Dhaka-20,88.5
Satkhira-1,88.3
Meherpur-1,88.2
Chapai Nawabganj-1,87.9
Rajshahi-1,87.85
Satkhira-4,87.6
Jessore-6,87.55
Kushtia-1,87.35
Jessore-1,87.25
Chuadanga-2,87.2
Meherpur-2,87.1
Natore-2,87
Naogaon-3,86.75
Rajshahi-5,86.7
Naogaon-4,86.6
Jhenaidah-1,86.55
Jessore-5,86.55
Satkhira-2,86.4
Naogaon-2,86.35
Naogaon-6,86.1
Bogra-3,86.05
Khulna-5,86
Kushtia-2,85.8
Chuadanga-1,85.8
Khulna-6,85.45
Natore-4,85.4
Satkhira-3,85.4
Naogaon-5,85.3
Rajshahi-3,85.1
Jessore-4,85.1
Jhenaidah-2,85.05
Joypurhat-2,85.05
Magura-2,84.95
Bogra-4,84.45
Joypurhat-1,84.35
Kushtia-4,84.15
Panchagarh-1,83.98
Natore-3,83.95
Pabna-3,83.95
Magura-1,83.75
Kushtia-3,83.55
Dinajpur-2,83.5
Chapai Nawabganj-3,83.45
Gopalganj-3,83.3
Jhenaidah-4,83.05
Thakurgaon-1,83
Pabna-1,83
Pabna-4,82.95
Bogra-2,82.75
Moulvibazar-1,82.5
Thakurgaon-3,82.4
Khulna-1,82.3
Bagerhat-1,82.3
Bagerhat-2,82.15
Faridpur-1,82.1
Narsingdi-3,81.95
Tangail-4,81.95
Gazipur-3,81.8
Sirajganj-3,81.7
Narayanganj-2,81.65
Thakurgaon-2,81.6
Narsingdi-4,81.6
Sunamganj-2,81.6
Jessore-3,81.4
Bogra-7,81.35
Dinajpur-3,81.1
Narsingdi-2,81.05
Panchagarh-2,80.9
Dinajpur-5,80.9
Rajshahi-2,80.7
Rangpur-4,80.7
Dinajpur-4,80.65
Pabna-2,80.55
Dinajpur-1,80.5
Manikganj-3,80.4
Nilphamari-2,80.2
Faridpur-3,80.15
Dinajpur-6,80.1
Tangail-7,80.05
Khulna-4,79.9
Rangpur-2,79.65
Dhaka-1,79.4
Gazipur-4,79.2
Bogra-5,79.2
Tangail-3,79.05
Dhaka-2,79.05
Bagerhat-3,78.65
Sirajganj-2,78.45
Rangpur-5,78.3
Narayanganj-5,78.25
Narail-2,78.1
Netrokona-4,78
Kishoreganj-6,78
Faridpur-2,77.9
Moulvibazar-2,77.7
Gopalganj-2,77.65
Gaibandha-4,77.5
Bogra-6,77.3
Tangail-5,77.2
Brahmanbaria-1,77.2
Jamalpur-5,76.9
Khulna-3,76.85
Barisal-1,76.85
Pirojpur-1,76.85
Nilphamari-4,76.7
Manikganj-2,76.7
Lalmonirhat-1,76.6
Chittagong-2,76.5
Nilphamari-3,76.4
Pabna-5,76.35
Manikganj-1,76.35
Narsingdi-5,76.3
Chittagong-16,76.3
Netrokona-1,76.2
Chittagong-1,76.2
Chittagong-13,76.1
Nilphamari-1,75.9
Sherpur-2,75.85
Moulvibazar-4,75.85
Jamalpur-4,75.8
Dhaka-19,75.8
Habiganj-4,75.8
Tangail-2,75.75
Munshiganj-1,75.7
Dhaka-18,75.7
Tangail-1,75.7
Netrokona-2,75.55
Narail-1,75.45
Lalmonirhat-3,75.35
Shariatpur-3,75.25
Moulvibazar-3,75.2
Comilla-9,75.15
Brahmanbaria-2,74.85
Munshiganj-2,74.8
Khulna-2,74.8
Tangail-8,74.7
Sunamganj-1,74.7
Rangpur-6,74.7
Rajbari-1,74.6
Brahmanbaria-3,74.6
Netrokona-3,74.55
Cox's Bazar-1,74.45
Gaibandha-3,74.45
Mymensingh-11,74.3
Dhaka-16,74.3
Narsingdi-1,74.15
Kishoreganj-5,73.8
Chittagong-11,73.75
Brahmanbaria-6,73.7
Comilla-7,73.5
Kishoreganj-4,73.25
Kishoreganj-1,73.15
Mymensingh-10,73.05
Kurigram-2,72.8
Gopalganj-1,72.75
Kurigram-1,72.7
Rangpur-1,72.65
Mymensingh-1,72.6
Habiganj-3,72.55
Sunamganj-4,72.55
Chittagong-14,72.55
Gazipur-2,72.45
Gaibandha-5,72.4
Jamalpur-1,72.2
Barguna-2,72.1
Chandpur-5,72.1
Mymensingh-3,71.95
Brahmanbaria-4,71.9
Habiganj-2,71.8
Feni-1,71.8
Bogra-1,71.75
Dhaka-15,71.7
Dhaka-3,71.65
Sylhet-3,71.55
Chandpur-1,71.5
Shariatpur-1,71.45
Dhaka-12,71.4
Chittagong-5,71.3
Cox's Bazar-4,71.2
Lalmonirhat-2,71.2
Comilla-10,71.15
Comilla-5,71.1
Comilla-6,71.05
Chittagong-7,71
Sirajganj-5,70.9
Faridpur-4,70.9
Cox's Bazar-2,70.8
Rangpur-3,70.8
Mymensingh-5,70.7
Dhaka-17,70.7
Shariatpur-2,70.55
Tangail-6,70.5
Chittagong-12,70.45
Comilla-3,70.3
Madaripur-2,70.25
Feni-2,70.2
Chittagong-15,70.2
Jhalokati-2,70.15
Madaripur-3,70.15
Sunamganj-3,70.05
Pirojpur-3,70.05
Dhaka-7,69.95
Patuakhali-4,69.9
Chittagong-4,69.9
Narayanganj-4,69.8
Habiganj-1,69.4
Gaibandha-1,69.15
Sherpur-1,69.15
Jamalpur-3,68.95
Kurigram-4,68.9
Comilla-4,68.9
Barisal-5,68.75
Sylhet-2,68.6
Jhalokati-1,68.5
Sunamganj-5,68.5
Madaripur-1,68.35
Barisal-3,68.25
Sylhet-6,68.25
Chittagong-8,68.25
Chittagong-6,68.15
Mymensingh-4,67.4
Patuakhali-2,67.25
Sylhet-1,67.25
Feni-3,67.25
Dhaka-8,67.15
Barisal-2,67.1
Jamalpur-2,67.05
Brahmanbaria-5,67
Chittagong-3,66.55
Chittagong-10,66.45
Sylhet-4,66.25
Comilla-11,66.25
Mymensingh-7,66.15
Mymensingh-6,65.7
Sherpur-3,65.6
Sirajganj-1,65.3
Chandpur-3,65.3
Dhaka-5,65.1
Bhola-3,64.95
Comilla-2,64.9
Chandpur-2,64.85
Mymensingh-2,64.7
Noakhali-3,64.7
Chandpur-4,64.7
Noakhali-1,64.65
Noakhali-5,64.55
Barguna-1,64.25
Sylhet-5,64.2
Barisal-6,64.15
Comilla-8,64
Cox's Bazar-3,63.9
Bhola-1,63.7
Dhaka-6,63.55
Chittagong-9,63.55
Dhaka-11,63.2
Lakshmipur-1,62.9
Dhaka-4,62.75
Mymensingh-8,62.7
Barisal-4,62.45
Lakshmipur-2,62.45
Comilla-1,62.4
Kurigram-3,62.1
Mymensingh-9,61.9
Bhola-4,61.75
Patuakhali-1,61.65
Patuakhali-3,61.5
Dhaka-9,61.4
Noakhali-6,61.1
Dhaka-10,60.9
Noakhali-2,60.65
Noakhali-4,59.2
Gaibandha-2,58.85
Lakshmipur-4,57.75
Bhola-2,56.6
Pirojpur-2,53.7
Chapai Nawabganj-2,
Naogaon-1,
Sirajganj-4,
Sirajganj-6,
Bagerhat-4,
Netrokona-5,
Kishoreganj-2,
Kishoreganj-3,
Munshiganj-3,
Dhaka-13,
Dhaka-14,
Gazipur-1,
Narayanganj-1,
Narayanganj-3,
Rajbari-2,
Lakshmipur-3,
Khagrachari,
Rangamati,
Bandarban,
